Time(s)	Flow ID	Throughput(Mbps)
33.1	1	246.735
33.1	3	231.171
33.1	5	237.808
33.1	7	236.778
33.2	1	231.514
33.2	3	244.446
33.2	5	249.138
33.2	7	227.28
33.3	1	216.98
33.3	3	257.721
33.3	5	227.737
33.3	7	249.939
33.4	1	230.598
33.4	3	264.015
33.4	5	205.879
33.4	7	251.884
33.5	1	240.784
33.5	3	229.34
33.5	5	239.182
33.5	7	243.187
33.6	1	231.514
33.6	3	210.915
33.6	5	245.705
33.6	7	264.244
33.7	1	247.078
33.7	3	236.32
33.7	5	215.378
33.7	7	253.601
33.8	1	255.775
33.8	3	226.135
33.8	5	206.795
33.8	7	263.672
33.9	1	255.432
33.9	3	236.435
33.9	5	226.707
33.9	7	233.917
34	1	231.4
34	3	234.375
34	5	249.596
34	7	237.007
34.1	1	244.102
34.1	3	241.699
34.1	5	223.045
34.1	7	243.53
34.2	1	257.607
34.2	3	234.604
34.2	5	234.146
34.2	7	226.021
34.3	1	190.43
34.3	3	251.999
34.3	5	268.135
34.3	7	241.814
34.4	1	225.105
34.4	3	232.887
34.4	5	272.598
34.4	7	221.901
34.5	1	209.198
34.5	3	219.04
34.5	5	256.691
34.5	7	267.448
34.6	1	220.985
34.6	3	236.549
34.6	5	239.296
34.6	7	255.547
34.7	1	263.214
34.7	3	221.329
34.7	5	252.8
34.7	7	215.034
34.8	1	230.713
34.8	3	247.307
34.8	5	260.811
34.8	7	213.661
34.9	1	231.514
34.9	3	258.751
34.9	5	248.566
34.9	7	213.547
35	1	257.721
35	3	237.694
35	5	237.007
35	7	219.955
35.1	1	265.274
35.1	3	274.658
35.1	5	212.517
35.1	7	199.928
35.2	1	250.854
35.2	3	266.762
35.2	5	240.784
35.2	7	194.092
35.3	1	237.122
35.3	3	278.549
35.3	5	233.345
35.3	7	203.362
35.4	1	250.282
35.4	3	240.898
35.4	5	248.566
35.4	7	212.631
35.5	1	249.596
35.5	3	241.127
35.5	5	243.53
35.5	7	218.124
35.6	1	236.778
35.6	3	238.724
35.6	5	253.716
35.6	7	223.274
35.7	1	241.241
35.7	3	229.111
35.7	5	247.765
35.7	7	234.261
35.8	1	249.481
35.8	3	247.307
35.8	5	227.394
35.8	7	228.195
35.9	1	233.002
35.9	3	264.702
35.9	5	222.244
35.9	7	232.43
36	1	216.293
36	3	275.23
36	5	222.244
36	7	238.609
36.1	1	220.871
36.1	3	254.402
36.1	5	222.588
36.1	7	254.631
36.2	1	224.419
36.2	3	226.593
36.2	5	245.934
36.2	7	255.432
36.3	1	228.081
36.3	3	220.413
36.3	5	270.996
36.3	7	232.887
36.4	1	278.435
36.4	3	191.917
36.4	5	277.977
36.4	7	204.048
36.5	1	282.669
36.5	3	189.056
36.5	5	270.767
36.5	7	209.999
36.6	1	273.056
36.6	3	217.209
36.6	5	245.705
36.6	7	216.408
36.7	1	268.364
36.7	3	230.255
36.7	5	238.724
36.7	7	215.034
36.8	1	237.122
36.8	3	248.795
36.8	5	236.893
36.8	7	229.568
36.9	1	246.277
36.9	3	232.773
36.9	5	265.846
36.9	7	207.596
37	1	247.765
37	3	218.468
37	5	260.696
37	7	225.449
37.1	1	250.74
37.1	3	237.694
37.1	5	245.705
37.1	7	218.239
37.2	1	213.661
37.2	3	245.934
37.2	5	249.939
37.2	7	242.844
37.3	1	205.193
37.3	3	253.372
37.3	5	261.497
37.3	7	232.43
37.4	1	230.598
37.4	3	275.116
37.4	5	230.255
37.4	7	216.408
37.5	1	260.811
37.5	3	248.909
37.5	5	222.13
37.5	7	220.528
37.6	1	254.402
37.6	3	256.92
37.6	5	239.754
37.6	7	201.302
37.7	1	261.841
37.7	3	238.609
37.7	5	234.604
37.7	7	217.438
37.8	1	236.549
37.8	3	255.432
37.8	5	254.745
37.8	7	205.65
37.9	1	207.481
37.9	3	280.266
37.9	5	264.244
37.9	7	200.386
38	1	206.223
38	3	309.448
38	5	198.669
38	7	238.037
38.1	1	225.449
38.1	3	245.819
38.1	5	213.432
38.1	7	267.677
38.2	1	256.348
38.2	3	224.991
38.2	5	205.879
38.2	7	265.274
38.3	1	236.435
38.3	3	214.92
38.3	5	243.874
38.3	7	257.149
38.4	1	239.296
38.4	3	214.119
38.4	5	234.947
38.4	7	264.015
38.5	1	232.887
38.5	3	233.116
38.5	5	222.473
38.5	7	263.901
38.6	1	255.661
38.6	3	237.007
38.6	5	233.574
38.6	7	226.25
38.7	1	234.146
38.7	3	246.849
38.7	5	230.37
38.7	7	241.013
38.8	1	230.37
38.8	3	253.601
38.8	5	227.165
38.8	7	241.241
38.9	1	235.519
38.9	3	230.484
38.9	5	236.435
38.9	7	249.939
39	1	214.92
39	3	233.002
39	5	250.168
39	7	254.402
39.1	1	212.059
39.1	3	274.887
39.1	5	236.092
39.1	7	229.34
39.2	1	226.135
39.2	3	240.669
39.2	5	243.187
39.2	7	242.386
39.3	1	214.462
39.3	3	270.309
39.3	5	237.465
39.3	7	230.141
39.4	1	216.293
39.4	3	249.596
39.4	5	230.026
39.4	7	256.577
39.5	1	225.677
39.5	3	279.579
39.5	5	226.135
39.5	7	220.985
39.6	1	236.206
39.6	3	266.19
39.6	5	254.974
39.6	7	195.007
39.7	1	246.162
39.7	3	249.481
39.7	5	235.748
39.7	7	220.985
39.8	1	231.285
39.8	3	249.71
39.8	5	234.375
39.8	7	237.007
39.9	1	201.187
39.9	3	261.726
39.9	5	229.683
39.9	7	259.895
40	1	247.65
40	3	279.007
40	5	189.285
40	7	236.435
40	9	0
40.1	1	204.964
40.1	3	234.718
40.1	5	217.323
40.1	7	218.01
40.1	9	77.3495
40.2	1	197.182
40.2	3	194.092
40.2	5	215.721
40.2	7	166.054
40.2	9	179.443
40.3	1	141.449
40.3	3	211.83
40.3	5	218.124
40.3	7	194.206
40.3	9	186.768
40.4	1	177.155
40.4	3	193.977
40.4	5	177.841
40.4	7	197.754
40.4	9	205.65
40.5	1	198.555
40.5	3	179.901
40.5	5	199.585
40.5	7	170.86
40.5	9	203.476
40.6	1	208.282
40.6	3	167.656
40.6	5	182.19
40.6	7	193.52
40.6	9	200.729
40.7	1	217.209
40.7	3	188.599
40.7	5	167.313
40.7	7	210.342
40.7	9	169.029
40.8	1	199.013
40.8	3	198.212
40.8	5	180.244
40.8	7	181.618
40.8	9	193.291
40.9	1	189.972
40.9	3	200.844
40.9	5	198.555
40.9	7	177.155
40.9	9	185.852
41	1	215.378
41	3	199.242
41	5	205.765
41	7	173.607
41	9	158.386
41.1	1	213.089
41.1	3	211.716
41.1	5	177.841
41.1	7	193.977
41.1	9	155.869
41.2	1	196.152
41.2	3	215.95
41.2	5	195.808
41.2	7	158.157
41.2	9	186.31
41.3	1	190.773
41.3	3	171.661
41.3	5	181.274
41.3	7	184.135
41.3	9	224.533
41.4	1	205.536
41.4	3	159.988
41.4	5	188.713
41.4	7	189.171
41.4	9	208.969
41.5	1	195.351
41.5	3	174.866
41.5	5	213.089
41.5	7	201.302
41.5	9	167.885
41.6	1	211.143
41.6	3	190.43
41.6	5	198.097
41.6	7	191.116
41.6	9	161.591
41.7	1	169.144
41.7	3	182.648
41.7	5	179.901
41.7	7	214.005
41.7	9	206.68
41.8	1	182.076
41.8	3	174.98
41.8	5	172.577
41.8	7	224.991
41.8	9	197.754
41.9	1	197.639
41.9	3	186.31
41.9	5	175.323
41.9	7	204.163
41.9	9	189.056
42	1	186.882
42	3	200.157
42	5	179.672
42	7	190.315
42	9	195.351
42.1	1	202.332
42.1	3	179.901
42.1	5	201.988
42.1	7	180.817
42.1	9	187.34
42.2	1	189.171
42.2	3	169.716
42.2	5	187.912
42.2	7	219.612
42.2	9	185.966
42.3	1	159.187
42.3	3	210.915
42.3	5	185.738
42.3	7	197.182
42.3	9	199.471
42.4	1	155.182
42.4	3	231.056
42.4	5	189.056
42.4	7	192.947
42.4	9	184.135
42.5	1	166.855
42.5	3	210.228
42.5	5	205.65
42.5	7	187.912
42.5	9	181.732
42.6	1	183.22
42.6	3	194.206
42.6	5	192.375
42.6	7	199.013
42.6	9	183.563
42.7	1	184.479
42.7	3	186.424
42.7	5	217.094
42.7	7	195.465
42.7	9	168.915
42.8	1	207.596
42.8	3	190.43
42.8	5	230.37
42.8	7	171.204
42.8	9	152.893
42.9	1	190.659
42.9	3	178.413
42.9	5	207.367
42.9	7	184.708
42.9	9	191.231
43	1	183.449
43	3	164.223
43	5	205.078
43	7	203.247
43	9	196.381
43.1	1	173.035
43.1	3	170.746
43.1	5	191.46
43.1	7	200.729
43.1	9	216.408
43.2	1	156.097
43.2	3	158.157
43.2	5	184.479
43.2	7	230.026
43.2	9	223.732
43.3	1	173.607
43.3	3	168.8
43.3	5	180.016
43.3	7	207.253
43.3	9	222.702
43.4	1	165.825
43.4	3	191.002
43.4	5	197.182
43.4	7	185.28
43.4	9	213.089
43.5	1	163.651
43.5	3	218.239
43.5	5	198.097
43.5	7	181.16
43.5	9	191.231
43.6	1	171.318
43.6	3	210.457
43.6	5	170.86
43.6	7	173.607
43.6	9	226.25
43.7	1	200.615
43.7	3	190.43
43.7	5	168.686
43.7	7	169.83
43.7	9	222.816
43.8	1	158.501
43.8	3	201.302
43.8	5	181.618
43.8	7	200.043
43.8	9	210.915
43.9	1	145.454
43.9	3	206.451
43.9	5	193.291
43.9	7	195.465
43.9	9	211.716
44	1	171.547
44	3	196.266
44	5	192.032
44	7	194.321
44	9	198.326
44.1	1	186.081
44.1	3	188.599
44.1	5	182.762
44.1	7	208.511
44.1	9	186.424
44.2	1	216.751
44.2	3	177.612
44.2	5	185.623
44.2	7	186.768
44.2	9	185.623
44.3	1	209.427
44.3	3	171.776
44.3	5	167.198
44.3	7	205.765
44.3	9	198.212
44.4	1	203.705
44.4	3	174.751
44.4	5	174.179
44.4	7	205.307
44.4	9	194.435
44.5	1	193.291
44.5	3	192.833
44.5	5	163.422
44.5	7	192.49
44.5	9	210.457
44.6	1	176.468
44.6	3	177.841
44.6	5	210.342
44.6	7	178.413
44.6	9	209.312
44.7	1	167.198
44.7	3	196.953
44.7	5	193.291
44.7	7	197.182
44.7	9	197.754
44.8	1	167.656
44.8	3	173.149
44.8	5	177.04
44.8	7	230.942
44.8	9	203.59
44.9	1	179.443
44.9	3	176.582
44.9	5	192.49
44.9	7	217.781
44.9	9	186.195
45	1	199.471
45	3	193.176
45	5	223.389
